;nota_fiscal_id;status;nome_serv;valor;consensus_count;model_agreement;trend_detected;relationship;performance_reliability;ml_weight_score;description;action_summary;feature_context;target_feature
58;38574.0;VALIDO;Etanol;155.63;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
59;38576.0;VALIDO;Etanol;111.58;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
60;38569.0;VALIDO;Diesel;252.14;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
61;39026.0;VALIDO;Diesel;230.54;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
62;57937.0;VALIDO;GNV;41.42;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
63;57936.0;VALIDO;Etanol;75.52;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
105;33582.0;VALIDO;Etanol;172.69;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
111;57936.0;VALIDO;Etanol;87.17;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
112;57936.0;VALIDO;Etanol;51.98;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
113;57937.0;VALIDO;GNV;28.05;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
122;50843.0;VALIDO;Diesel;174.05;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
128;57937.0;VALIDO;GNV;24.28;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
129;57936.0;VALIDO;Etanol;75.23;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
130;57936.0;VALIDO;Etanol;25.57;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
132;57936.0;VALIDO;Etanol;120.34;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
133;57936.0;VALIDO;Etanol;131.79;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
