;tipoequipamento;modelo;cidade;estabelecimento;custo_km;ml_good_or_bad;recomend_replacement;consensus_count;model_agreement;trend_detected;relationship;performance_reliability;ml_weight_score;description;action_summary;feature_context;target_feature
0;EQUIPAMENTO;TORO FREEDOM AT9 D;Recife;A C NORTE LTDA;0.71;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
1;EQUIPAMENTO;S10 LS DD4;Recife;A C NORTE LTDA;0.92;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
2;VEÍCULO;Gol 1.0;Salvador;M-55 COMERCIO DE COMB LTDA;0.46;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
3;EQUIPAMENTO;TORO FREEDOM AT9 D;Recife;A C NORTE LTDA;0.88;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
4;CAMINHÃO;SPRINTER;Acrelândia;PROGRESSO COMERCIO DE COMBUSTIVEIS E SERVICOS - EIRELI;1.16;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
5;PICK UP;SAVEIRO;Recife;POSTO DE ABASTECIMENTO IPSEP LTDA;0.56;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
6;AUTOMÓVEL;DUSTER;Abreu e Lima;AUTO POSTO DUQUE DE CAXIAS LTDA;0.87;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
7;PICK UP;STRADA;Marechal Deodoro;POSTO ECOLOGICO COMERCIO DE COMBUSTIVEIS LTDA;0.64;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
8;AMBULÂNCIA;FIORINO;São Caitano;POSTO PROGRESSO LTDA;0.59;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
9;CAMINHONETE;Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.;PETROLINA;Posto Horizonte LTDA - EPP;0.84;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
